N,CPU_sum,GPU_sum_full,GPU_sum_kernel,CPU_Time_ms,GPU_Full_Time_ms,GPU_Kernel_Time_ms,Speedup_Full,Speedup_Kernel,Absolute_Error_Full,Absolute_Error_Kernel
1000,5558,5558,5558,0.0002373,0.0311595,0.01296,0.00761565,0.0183102,0,0
2500,13616,13616,13616,0.000524,0.0309619,0.0124128,0.016924,0.0422145,0,0
5000,27519,27519,27519,0.0010883,0.0353654,0.014096,0.030773,0.0772063,0,0
7500,41117,41117,41117,0.0016167,0.038566,0.0123264,0.0419203,0.131158,0,0
10000,54928,54928,54928,0.002148,0.0441566,0.0125248,0.048645,0.1715,0,0
50000,275515,275515,275515,0.0115461,0.0887063,0.0162112,0.130161,0.71223,0,0
70000,384441,384441,384441,0.0154334,0.111166,0.0191168,0.138832,0.807321,0,0
100000,550880,550880,550880,0.0211166,0.143902,0.020576,0.146743,1.02627,0,0
250000,1375219,1375219,1375219,0.0506767,0.318246,0.0300576,0.159238,1.68599,0,0
500000,2752160,2752160,2752160,0.110447,0.513677,0.0453888,0.215011,2.43334,0,0
700000,3849605,3849605,3849605,0.147695,0.655904,0.0517088,0.225177,2.85628,0,0
1000000,5504927,5504927,5504927,0.225557,0.921103,0.0650016,0.244878,3.47003,0,0
